TeamId,TeamName,SubmissionDate,Score,,"Average Score (as of June 2, 2018)"
1699128,"Yu,Hai (于海)",5/19/18 2:33,0.766,,
1697116,Daniel Legorreta,5/19/18 2:36,0.76,,
1701154,elham,5/19/18 2:51,0.5,,
1698175,Koenigsegg,5/19/18 3:06,0.751,,
1701218,u++,5/19/18 3:20,0.769,,
1701235,AdityaMadan,5/19/18 3:33,0.769,,
1700889,zunda3,5/19/18 3:35,0.769,,
1698113,Deargen,5/19/18 3:42,0.759,,
1697298,TI,5/19/18 3:49,0.773,,
1697298,TI,5/19/18 3:51,0.773,,
1698084,LDPy,5/19/18 3:52,0.77,,
1697700,InsightDev,5/19/18 4:04,0.744,,
1700720,Gabriel Preda,5/19/18 4:08,0.769,,
1699935,FrLi,5/19/18 4:18,0.748,,
1697241,Data Dog,5/19/18 4:19,0.607,,
1698890,Michael Premson L,5/19/18 4:20,0.534,,
1697241,Data Dog,5/19/18 4:21,0.609,,
1701262,Niranjan Nakkala,5/19/18 4:23,0.769,,
1697932,Aimoldin Anuar [dsmlkz] ,5/19/18 4:23,0.769,,
1697241,Data Dog,5/19/18 4:26,0.61,,
1697389,Owen Ouyang,5/19/18 4:42,0.745,,
1699674,YB Chan,5/19/18 4:53,0.724,,
1697761,the1owl,5/19/18 4:54,0.753,,
1699128,"Yu,Hai (于海)",5/19/18 4:55,0.768,,
1697761,the1owl,5/19/18 5:03,0.756,,
1699573,Idioit,5/19/18 5:08,0.713,,
1697453,Chia-Ta Tsai,5/19/18 5:10,0.769,,
1697522,JasonZivkovic,5/19/18 5:20,0.682,,
1697761,the1owl,5/19/18 5:41,0.767,,
1697761,the1owl,5/19/18 5:42,0.77,,
1699094,Vrishank,5/19/18 5:46,0.769,,
1697389,Owen Ouyang,5/19/18 5:49,0.749,,
1698890,Michael Premson L,5/19/18 5:52,0.535,,
1700104,Nikita Kozodoi,5/19/18 6:12,0.773,,
1701446,Aditya,5/19/18 6:20,0.667,,
1700964,SaeedAzarshab,5/19/18 6:47,0.744,,
1700078,kugane,5/19/18 6:50,0.762,,
1697990,loansome default,5/19/18 6:50,0.765,,
1701322,boaarmpit,5/19/18 6:54,0.741,,
1698421,Experto,5/19/18 6:54,0.77,,
1701682,dust,5/19/18 7:00,0.769,,
1697990,loansome default,5/19/18 7:09,0.766,,
1697700,InsightDev,5/19/18 7:15,0.765,,
